month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-02,Staten Island,EXP,All,Peak,"25,478,469","400,838,101.2",15.7324249428
2015-02,Staten Island,LCL/LTD,All,Off-Peak,"48,203,867","581,213,232",12.0573984656
2015-02,Staten Island,LCL/LTD,All,Peak,"25,820,767","299,102,299.2",11.5837883205
2015-02,Staten Island,SBS,All,Off-Peak,"8,162,003","126,831,232.8",15.5392288878
2015-02,Staten Island,SBS,All,Peak,"4,758,507","71,485,005.6",15.0225702305
2015-03,Bronx,EXP,All,Off-Peak,"26,653,418","350,328,333.6",13.1438426996
2015-03,Bronx,EXP,All,Peak,"22,076,812","245,959,128",11.1410618526
2015-03,Bronx,LCL/LTD,All,Off-Peak,"255,703,999","1,823,421,517.2",7.13098553144
2015-03,Bronx,LCL/LTD,All,Peak,"131,970,454","845,193,369.6",6.40441359397
2015-03,Bronx,SBS,All,Off-Peak,"16,851,380","157,776,346.8",9.36281460628
2015-03,Bronx,SBS,All,Peak,"8,847,629","75,058,509.6",8.48346032592
2015-03,Brooklyn,EXP,All,Off-Peak,"10,245,224","131,552,960.4",12.8404181695
2015-03,Brooklyn,EXP,All,Peak,"11,451,179","135,186,883.2",11.8054990844
2015-03,Brooklyn,LCL/LTD,All,Off-Peak,"408,245,878","2,966,463,288",7.26636433547
2015-03,Brooklyn,LCL/LTD,All,Peak,"209,281,132","1,351,067,371.2",6.45575336051
2015-03,Brooklyn,SBS,All,Off-Peak,"10,552,819","95,201,031.6",9.02138391647
2015-03,Brooklyn,SBS,All,Peak,"6,306,418","53,672,382",8.51075555093
2015-03,Manhattan,LCL/LTD,All,Off-Peak,"223,058,360","1,304,396,190",5.84777988146
2015-03,Manhattan,LCL/LTD,All,Peak,"111,896,284","594,480,333.6",5.3127799454
2015-03,Manhattan,SBS,All,Off-Peak,"22,813,441","189,545,133.6",8.30848505493
2015-03,Manhattan,SBS,All,Peak,"10,833,079","78,998,814",7.29236941778
2015-03,Queens,EXP,All,Off-Peak,"8,913,270","121,252,680",13.6036134887
2015-03,Queens,EXP,All,Peak,"15,578,009","186,235,826.4",11.9550467842
2015-03,Queens,LCL/LTD,All,Off-Peak,"431,233,354","3,978,207,291.6",9.22518458904
2015-03,Queens,LCL/LTD,All,Peak,"228,760,828","1,867,162,842",8.16207415546
2015-03,Staten Island,EXP,All,Off-Peak,"32,402,877","536,705,737.2",16.5635211096
2015-03,Staten Island,EXP,All,Peak,"28,950,448","441,086,742",15.235921116
2015-03,Staten Island,LCL/LTD,All,Off-Peak,"56,159,988","668,864,602.8",11.9099847885
2015-03,Staten Island,LCL/LTD,All,Peak,"29,680,664","339,056,859.6",11.4234930728
2015-03,Staten Island,SBS,All,Off-Peak,"9,422,670","142,989,062.4",15.1750047916
2015-03,Staten Island,SBS,All,Peak,"5,768,736","84,708,453.6",14.6840579288
2015-04,Bronx,EXP,All,Off-Peak,"27,971,413","365,661,342",13.0726803826
2015-04,Bronx,EXP,All,Peak,"22,821,226","256,002,613.2",11.2177414658
2015-04,Bronx,LCL/LTD,All,Off-Peak,"259,914,338","1,867,966,448.4",7.18685418732
2015-04,Bronx,LCL/LTD,All,Peak,"134,645,479","885,639,153.6",6.57756324369
2015-04,Bronx,SBS,All,Off-Peak,"16,136,761","155,685,279.6",9.64786425231
2015-04,Bronx,SBS,All,Peak,"8,816,076","78,153,674.4",8.86490479438
2015-04,Brooklyn,EXP,All,Off-Peak,"10,809,475","139,465,868.4",12.9021870535
2015-04,Brooklyn,EXP,All,Peak,"11,180,107","135,274,330.8",12.099556006
2015-04,Brooklyn,LCL/LTD,All,Off-Peak,"416,068,541","3,073,487,749.2",7.38697461195
2015-04,Brooklyn,LCL/LTD,All,Peak,"212,421,814","1,410,403,942.8",6.63963797428
2015-04,Brooklyn,SBS,All,Off-Peak,"10,939,715","100,324,832.4",9.1706989076
2015-04,Brooklyn,SBS,All,Peak,"6,206,043","54,316,011.6",8.75211654189
2015-04,Manhattan,LCL/LTD,All,Off-Peak,"225,296,272","1,307,987,935.2",5.80563505818
2015-04,Manhattan,LCL/LTD,All,Peak,"113,013,428","603,254,347.2",5.33789973347
2015-04,Manhattan,SBS,All,Off-Peak,"26,635,538","222,569,348.4",8.3561048551
2015-04,Manhattan,SBS,All,Peak,"13,301,360","99,667,933.2",7.49306335593
2015-04,Queens,EXP,All,Off-Peak,"8,614,176","123,387,958.8",14.3238260746
2015-04,Queens,EXP,All,Peak,"16,574,518","207,065,340",12.4929931597
2015-04,Queens,LCL/LTD,All,Off-Peak,"444,053,108","4,149,931,179.6",9.34557399742
2015-04,Queens,LCL/LTD,All,Peak,"238,146,374","2,015,107,581.6",8.4616345307
2015-04,Staten Island,EXP,All,Off-Peak,"33,168,624","547,845,768",16.516988103
2015-04,Staten Island,EXP,All,Peak,"30,647,142","470,177,064",15.3416283972
2015-04,Staten Island,LCL/LTD,All,Off-Peak,"56,890,980","688,182,055.2",12.096505548
2015-04,Staten Island,LCL/LTD,All,Peak,"30,404,400","356,135,616",11.7132920235
2015-04,Staten Island,SBS,All,Off-Peak,"8,883,850","137,208,952.8",15.4447624397
2015-04,Staten Island,SBS,All,Peak,"5,335,774","81,022,543.2",15.184777916
2015-05,Bronx,EXP,All,Off-Peak,"26,806,146","335,924,665.2",12.531628575
2015-05,Bronx,EXP,All,Peak,"21,726,364","231,057,090",10.6348715321
